,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,2025-10-24 00:00:00,2025-10-25 00:00:00,2025-10-26 00:00:00,2025-10-27 00:00:00,2025-10-28 00:00:00,2025-10-29 00:00:00,2025-10-30 00:00:00,2025-10-31 00:00:00,2025-11-01 00:00:00,2025-11-02 00:00:00,2025-11-03 00:00:00,2025-11-04 00:00:00,2025-11-05 00:00:00,2025-11-06 00:00:00,2025-11-07 00:00:00,2025-11-08 00:00:00,2025-11-09 00:00:00,2025-11-10 00:00:00,2025-11-11 00:00:00
TORRE,TORRE,TENDIDO,2025-10-24 00:00:00,2025-10-25 00:00:00,2025-10-26 00:00:00,2025-10-27 00:00:00,2025-10-28 00:00:00,2025-10-29 00:00:00,2025-10-30 00:00:00,2025-10-31 00:00:00,2025-11-01 00:00:00,2025-11-02 00:00:00,2025-11-03 00:00:00,2025-11-04 00:00:00,2025-11-05 00:00:00,2025-11-06 00:00:00,2025-11-07 00:00:00,2025-11-08 00:00:00,2025-11-09 00:00:00,2025-11-10 00:00:00,2025-11-11 00:00:00
Portico,Pórtico,0,,,,,,,,,,,,,,,,,,,
T001,D6,INST,A,,,,,,,,,,,,,,,,,,
T002,B4,INST,A,,,,,,,,,,,,,,,,,,
T003,B4,INST,A,,,,,,,,,,,,,,,,,,
T004,D4,INST,A,,,,,,,,,,,,,,,,,,
T005,B5,INST,,A,,,,,,,,,,,,,,,,,
T006,C5,INST,,A,,,,,,,,,,,,,,,,,
T007,B5,CXT,B,,,,,,,,,,,,,,,,,,
T008,B6,CXT,B,,,,,,,,,,,,,,,,,,
T009,B4,CXT,B,,,,,,,,,,,,,,,,,,
T010,B3,CXT,B,,,,,,,,,,,,,,,,,,
T011,C7,CXT,,B,,,,,,,,,,,,,,,,,
T012,B7,CXT,,B,,,,,,,,,,,,,,,,,
T013,C2,CXT,,B,,,,,,,,,,,,,,,,,
T014,B4,CXT,,B,,,,,,,,,,,,,,,,,
T015,A7,CXT,,,B,,,,,,,,,,,,,,,,
T016,A5,CXT,,,B,,,,,,,,,,,,,,,,
T017,A5,CXT,,,B,,,,,,,,,,,,,,,,
T018,B2,CXT,,,,B,,,,,,,,,,,,,,,
T019,A6,CXT,,,,B,,,,,,,,,,,,,,,
T020,A7,CXT,,,,B,,,,,,,,,,,,,,,
T021,B2,CXT,,,,B,,,,,,,,,,,,,,,
T022,C7,CXT,,,,,B,,,,,,,,,,,,,,
T023,B7,CXT,,,,,B,,,,,,,,,,,,,,
T024,B7,CXT,,,,,B,,,,,,,,,,,,,,
T026,B3,HG,,,,,,A,,,,,,,,,,,,,
T027,A6,HG,,,,,,A,,,,,,,,,,,,,
T028,B5,HG,,,,,,,A,,,,,,,,,,,,
T029,C4,HG,,,,,,,A,,,,,,,,,,,,
T030,B7,HG,,,,,,,A,,,,,,,,,,,,
T031,A7,HG,,,,,,,,A,,,,,,,,,,,
T032,A6,HG,,,,,,,,A,,,,,,,,,,,
T033,B6,HG,,,,,,,,A,,,,,,,,,,,
T034,B4,HG,,,,,,,,,A,,,,,,,,,,
T035,B4,HG,,,,,,,,,A,,,,,,,,,,
T036,D2,HG,,,,,,,,,A,,,,,,,,,,
T037,C2,HG,,,,,,,,,,,,,,,,,,,
T038,A3,HG,,,,,,,,,,,,,,,,,,,
T039,A3,HG,,,,,,,,,,,,,,,,,,,
T040,A4,HG,,,,,,,,,,,,,,,,,,,
T041,A4,HG,,,,,,,,,,,,,,,,,,,
T042,A3,HG,,,,,,,,,,,,,,,,,,,
T043,D5,HG,,,,,,,,,,,,,,,,,,,
T044,D5,HG,,,,,,,,,,,,,,,,,,,
T045,B7,HG,,,,,,,,,,,,,,,,,,,
T046,A7,HG,,,,,,,,,,,,,,,,,,,
T047,B7,HG,,,,,,,,,,,,,,,,,,,
T048,B6,HG,,,,,,,,,,,,,,,,,,,
T049,C5,HG,,,,,,,,,,,,,,,,,,,
T050,C5,HG,,,,,,,,,,,,,,,,,,,
T051,A4,HG,,,,,,,,,,,,,,,,,,,
T052,B6,HG,,,,,,,,,,,,,,,,,,,
T053,B7,HG,,,,,,,,,,,,,,,,,,,
T054,B4,HG,,,,,,,,,,,,,,,,,,,
T055,A4,HG,,,,,,,,,,,,,,,,,,,
T056,A5,HG,,,,,,,,,,,,,,,,,,,
T057,B3,HG,,,,,,,,,,,,,,,,,,,
T058,B3,HG,,,,,,,,,,,,,,,,,,,
T059,B2,HG,,,,,,,,,,,,,,,,,,,
T060,A7,HG,,,,,,,,,,,,,,,,,,,
T061,A60M,HG,,,,,,,,,,,,,,,,,,,
T062,B5,HG,,,,,,,,,,,,,,,,,,,
T063,AE,HG,,,,,B,,,,,,,,,,,,,,
T064,AE,HG,,,,,B,,,,,,,,,,,,,,
T065,D4,HG,,,,,B,,,,,,,,,,,,,,
T066 Pórtico PDO,PORTICO ,0,,,,,,,,,,,,,,,,,,,
