,,,,,,,
PROYECTO: SABANALARGA - BOLIVAR 500kV,,,,,,,
ACTIVIDAD: REPLANTEO,,,,,,,
,,,,,,,
Fecha ejecutado,Ejecutado,observaciones ejecutado,Fecha programación,Actividad programada,,OBS AMBIENTAL,x
,,,2021-08-09 00:00:00,"REG GEODESICA, T1,3,4, Toma puntos al portico SE Sabana",,,
2021-08-09 00:00:00,"REG GEODESICA, 
Sitios T1,3,4, 
Toma puntos al portico SE Sabana",Sin observacion de comunidad o propietarios,2021-08-10 00:00:00,"T2,5,5A,7,8,9",,,
2021-08-10 00:00:00,"sitios T2, 5,5A,7,8,10,11, 
Cruces de linea T5 - T5A","T9 se reprograma para el día siguiente.
T10 se nos presenta un trabajador del predio consulta que actividad realizamos y se retira.",2021-08-11 00:00:00,"T9, 19,20,21,22,23",,,
2021-08-11 00:00:00,"T9  ,  19, 20, 21 , 22","T9 no se pudo ingresar por el acceso licenciado, personal de la finca nos indica que la torre no corresponde al predio de las tores T10, T11(se reporta a gestion predial) y adicional en vano atras T10 se evidencia vegetación que imposibilita el acceso, 
Para el ingreso a T9 el propietario T8 quien cubre hasta la T9 nos permite el ingreso 
Nota: pendiene evaluar el acceso.",2021-08-12 00:00:00,"T23, 26, 27, 28, 29 , 30 , 31, 32",,,
2021-08-12 00:00:00,"T23, T26, T27 y T28.","T26 encontramos el ""Mojon"" (un tronco en madera ya podrido). Pero las coordenadas estaba dando muy bien, se colocó el nuevo mojon. 
Demas torres no hubo novedad.",2021-08-13 00:00:00,T29 a T36.,,,
2021-08-13 00:00:00,"T29, 30, 31, 32, 33, 34",Sin observacion de propietarios o comunidad.,2021-08-14 00:00:00,T35 - T42,,,
2021-08-14 00:00:00,"T35 , T36 , T37, T38, T39, T40, T41",Sin observacion de propietarios o comunidad.,2021-08-16 00:00:00,T42 a T47,,,
2021-08-16 00:00:00,"T42 , T43, T44 , T45","T42 y T43 sin observacio,
T44 tenía un desplazamiento de 35 cm, movimos el mojon al lugar que correspondía... 
T45 tenía un desplazamiento  de  20cm,  movimos el mojon al lugar que correspondía... 

Lluvias en la zona desde las 12:30h",2021-08-17 00:00:00,T46 a T53,,,40
2021-08-17 00:00:00,"T46 , T47, T48, T49","Sin observacion de propietarios o comunidad.

Lluvias en la zona 15:00h a 16:00h",2021-08-18 00:00:00,T49 a T53,,,
2021-08-18 00:00:00,"T50, T51, T52, T53, T54 y T55","T52 la cota estaba 50cm por debajo (se ajusta a datos de tabla) 

En la T53 en dirección de la Pata A a 26m del eje hay un Jagüey",2021-08-19 00:00:00,T56 a T63,,T53 Jagüey proximo a torre (26m a pata A),Varificar distancia pues topografia arroja un nuevo dato 16m
2021-08-19 00:00:00,"T63 , T64 y T65","Sin observacion de propietarios o comunidad.

Lluvia en la zona 13h a 16horas ",2021-08-20 00:00:00,T62 a T56,,,
2021-08-20 00:00:00,"T62, 61, 60, 59, 58 , 57 , 56","Sin observacion de propietarios o comunidad.

T61  se encontro el mojon sobre el terreno a 17m de la coordenadas, se procede a ubicarlo en las coordenadas",2021-08-21 00:00:00,T66 a T74,,,
2021-08-21 00:00:00,"T66 , T67 , T68 , T69","Sin observacion de propietarios o comunidad.

Se levanta cruce AT entre T66-T67",2021-08-23 00:00:00,T70 a T74,,,
2021-08-23 00:00:00,"T70 , T71, T72 , T73 , T74","Sin observacion de propietarios o comunidad.

La T-71 se reubico ya que el mojon estaba desplazado 60cm 
La T-74 se reubico ya que el mojon estaba desplazado 20cm",2021-08-24 00:00:00,T77 a T81,,,
2021-08-24 00:00:00,"T75 , T76 , T77 , T78 ","Sin observacion de propietarios o comunidad.

Las cuatro torres presentaban desplazamiento de 20cm , se reubican 

Se levanta el cruce AT entre T78 - T79",2021-08-25 00:00:00,T79 - T84,,,
2021-08-25 00:00:00,"T79 , T80 , T81 , T82 , T83",Sin observacion de propietarios o comunidad.,2021-08-26 00:00:00,T84 a T89,,,
2021-08-26 00:00:00,"T84 , T85, T86 , T87",Sin observacion de propietarios o comunidad.,2021-08-27 00:00:00,"T88 a T92 , T94",,,
2021-08-27 00:00:00,"T88 , T89 , T90 , T91",Sin observacion de propietarios o comunidad.,2021-08-28 00:00:00,"T92 , T94 a T97",,,
2021-08-28 00:00:00,"T92, T93 , T94 , T95",Sin observacion de propietarios o comunidad.,2021-08-30 00:00:00,"T97, T98 , T99, T100, T101",,,
2021-08-30 00:00:00,"T102 , T101 ","Sin observacion de propietarios o comunidad.

Por tormenta electrica quedo pendiente diagonales T101",2021-08-31 00:00:00,"T101  , T100 , T99 , T98 , T97",,,
2021-08-31 00:00:00,"T101 , T100 , T099",Sin observacion de propietarios o comunidad.,2021-09-01 00:00:00,"T98 , T97",,,
2021-09-01 00:00:00,"T98 , T97",Sin observacion de propietarios o comunidad.,2021-09-02 00:00:00,"T103, T104 , T105",,,
2021-09-02 00:00:00,"T103, T104,  T105 , T107 , T108 , T109",Sin observacion de propietarios o comunidad.,2021-09-03 00:00:00,T110 a T115,,,
2021-09-03 00:00:00,"T110, T111, T112, T113, T114 , T115",Sin observacion de propietarios o comunidad.,2021-09-04 00:00:00,T116 a T121,,,
2021-09-04 00:00:00,"T116 , T117, T118 (se encontraron los mojones desplazados 3m, 4m, 6m, respectivamente) se ubican a las coordenadas tabla de torres v11

T119 y T120 ubicados sengun coordenadas",Sin observacion de propietarios o comunidad.,2021-09-06 00:00:00,T121 a T126,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
